filename,genre,tempo,spectral_centroid,spectral_flatness,zero_crossing_rate,perc_har_ratio,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std
3rd Prototype - Move Your Body [NCS Release].mp3,techno,156.60511363636363,1846.4766711386667,0.016808705,0.05581334353231424,-9.1336030960083,-56.53087615966797,98.82987976074219,112.44192504882812,45.029579162597656,13.425990104675293,27.178752899169922,23.950712203979492,15.494263648986816,7.040556907653809,16.346004486083984,8.579662322998047,12.01640796661377,2.9281136989593506,11.791651725769043,3.3793325424194336,13.28089714050293,-1.8336907625198364,12.803502082824707,5.217955589294434,9.370372772216797,-1.1483055353164673,8.910711288452148,3.5089919567108154,8.159401893615723,0.2560059726238251,7.5832200050354
ANIME - BASS.mp3,techno,161.4990234375,3378.331201772071,0.109478466,0.20852292654315016,0.0,62.37689971923828,31.778841018676758,46.26121520996094,29.250917434692383,-19.881303787231445,19.54084014892578,13.041378021240234,16.998497009277344,-10.69031810760498,13.577136993408203,-6.526017189025879,9.440699577331543,-7.887420177459717,10.42834186553955,-2.6995532512664795,8.145271301269531,-5.894104957580566,8.084540367126465,-2.6999619007110596,7.669730186462402,-7.775826930999756,7.203559875488281,3.108704090118408,7.332280158996582,1.0925383567810059,8.508397102355957
Bel Mercy (BEAUZ Hard Techno Remix) feat. Nokia (Extended Mix) final.wav,techno,161.4990234375,2178.1307952144402,0.017040258,0.07213146103424922,0.0,-29.9310302734375,80.78221130371094,95.46375274658203,46.79674530029297,-4.770218372344971,25.767210006713867,27.73322868347168,22.253673553466797,9.897481918334961,13.71370792388916,15.492996215820312,10.46176815032959,5.620990753173828,9.403276443481445,10.35655689239502,9.182165145874023,4.443990707397461,7.979379177093506,6.172226428985596,7.202418327331543,4.635167598724365,8.09021282196045,5.504841327667236,6.033137321472168,-1.0154454708099365,7.510458946228027
Black Eyed Peas - Pump It (KX CHR Hard Techno edit).wav,techno,151.99908088235293,2222.51495169809,0.018523881,0.0472468798374613,-10.269892692565918,17.10468101501465,62.403560638427734,85.0194091796875,28.565641403198242,9.786453247070312,23.324691772460938,19.081581115722656,15.87153148651123,9.090343475341797,15.57768726348877,14.411332130432129,14.272686958312988,-0.989303708076477,12.477275848388672,6.517122268676758,10.163110733032227,1.466176986694336,10.628300666809082,9.10815143585205,10.972580909729004,6.179444313049316,11.322188377380371,6.825997829437256,10.842012405395508,0.8783629536628723,10.302807807922363
Dernière_danse_Techno_Mix_KLICKAUD.mp3,techno,143.5546875,2647.9342818060195,0.020199131,0.1265895595491486,0.0,-89.2629623413086,43.03819274902344,87.37801361083984,24.3621883392334,-0.5216729640960693,18.841983795166016,7.423565864562988,18.90328598022461,-1.1967201232910156,11.365592002868652,-0.6183184385299683,12.16242504119873,10.022666931152344,11.424549102783203,-8.306488037109375,14.465627670288086,7.49740743637085,12.073436737060547,10.751462936401367,8.662772178649902,-9.79659652709961,9.139225006103516,10.59363842010498,10.096406936645508,-4.529667854309082,10.08594036102295
DISCOFEVER.mp3,techno,161.4990234375,3190.080030593358,0.07917909,0.15699942857488391,21.42599105834961,53.84049606323242,88.44149780273438,57.401329040527344,28.94268035888672,-9.63508415222168,16.746742248535156,14.17812728881836,17.248689651489258,-4.802334308624268,13.852066040039062,7.845973014831543,11.990203857421875,1.0364136695861816,10.72251033782959,5.914864540100098,9.73357105255127,-0.7700138688087463,9.604191780090332,3.2623021602630615,8.435014724731445,-0.46616819500923157,8.510767936706543,7.2088704109191895,8.627596855163574,3.5253067016601562,6.948132038116455
Girls Love Techno M ( Final Version ).mp3,techno,151.99908088235293,3397.7302302665485,0.07140779,0.14552141785990713,-5.414962291717529,3.8460919857025146,44.86722183227539,45.22802734375,19.45505142211914,8.764547348022461,16.472095489501953,20.371898651123047,11.363832473754883,13.533797264099121,13.37785816192627,13.804121971130371,11.228296279907227,1.8178367614746094,10.041131973266602,8.026897430419922,9.940786361694336,-3.308769941329956,10.364615440368652,2.714559555053711,10.001033782958984,-7.814249038696289,9.729660034179688,-0.8872281908988953,9.290576934814453,-7.494651794433594,9.075384140014648
HELLBOUND_-_WELCOME_TO_HELL_TG36_KLICKAUD.mp3,techno,151.99908088235293,3333.3555155016456,0.06276723,0.12477211022155572,0.0,3.9806394577026367,51.07613754272461,49.28570556640625,19.309579849243164,16.102046966552734,12.0476713180542,15.409438133239746,9.376531600952148,16.653200149536133,7.302536964416504,21.617643356323242,8.140055656433105,13.347195625305176,9.011458396911621,11.871761322021484,8.114944458007812,1.4524312019348145,7.467105865478516,9.968265533447266,7.191061496734619,-0.003916407003998756,6.314036846160889,4.377810478210449,5.632536888122559,1.300099492073059,5.306816101074219
HERESYS-SALTY .wav,techno,161.4990234375,2595.565520099391,0.04559639,0.10730320602747678,0.0,-44.516876220703125,46.35124206542969,86.67098236083984,34.545562744140625,5.241212368011475,17.210250854492188,20.81308364868164,12.276201248168945,1.3662713766098022,11.709308624267578,1.9737964868545532,11.053179740905762,1.7062610387802124,8.897181510925293,2.2383227348327637,8.310766220092773,-1.2623783349990845,6.6830549240112305,5.150055885314941,6.797295570373535,-2.2846076488494873,7.609084606170654,2.2323052883148193,6.99892520904541,-0.3377435505390167,5.903548240661621
Jayron - FIYA! (EXTENDED MIX).wav,techno,161.4990234375,2689.821269600721,0.033371076,0.08365746843556501,0.0,46.87363815307617,37.884727478027344,74.71470642089844,21.532453536987305,16.14028549194336,17.380905151367188,20.993452072143555,10.142644882202148,4.3119096755981445,9.002096176147461,12.48435115814209,8.289990425109863,7.392282009124756,9.202595710754395,11.421849250793457,8.280176162719727,1.7955628633499146,7.9829301834106445,7.959662914276123,6.866152763366699,-0.17825889587402344,6.904180526733398,5.007102966308594,7.285250186920166,2.4517791271209717,7.478271007537842
